OrderID,OrderItemID,OrderTime,OrderQty,ProductID,CustID,GeoID,WhID,ShipTime,ModeID,ShipSchedule,GrossSales,DiscPc,Profit,CalID
11,29,2015-01-01 3:30:00,1,1,918,1,1,2015-01-03,1,4,60,0.2,147,1
11,30,2016-12-14 15:17:00,4,5,918,1,1,2016-12-18,1,4,160,0.05,97,24
11,31,2016-09-03 0:01:00,1,3,918,1,1,2016-09-06,1,4,50,0.17,125,21
11,32,2015-01-01 3:30:00,4,4,918,1,1,2015-01-03,1,4,400,0.06,245,1
11,33,2015-01-01 3:30:00,5,3,918,1,1,2017-09-05,1,4,250,0.09,125,1
13,39,2015-01-01 7:00:00,4,21,9149,2,2,2015-01-03,1,4,128,0.2,75,1
15,43,2015-01-01 4:54:00,1,2,2568,1,2,2015-01-07,1,4,50,0.25,125,1
15,44,2015-01-01 4:54:00,1,8,2568,1,2,2015-01-07,1,4,200,0.18,100,1
15,45,2017-01-23 17:41:00,3,25,2568,1,2,2017-01-29,1,4,96,0.07,60,25
15,46,2015-01-01 4:54:00,3,1,2568,1,2,2016-03-19,1,4,180,0.16,147,1
15,47,2015-01-01 4:54:00,1,7,2568,1,2,2015-01-07,1,4,400,0.17,200,1
21,64,2015-03-04 16:22:00,3,47,2711,3,2,2015-05-06,2,1,75,0.2,55,3
21,65,2015-08-25 6:19:00,4,21,2711,3,2,2015-08-27,2,1,128,0.18,75,8
21,66,2015-01-01 7:00:00,2,54,2711,3,2,2015-11-02,2,1,70,0.2,58,1
21,67,2015-05-18 11:32:00,2,2,2711,3,2,2015-05-20,2,1,100,0.12,125,5
23,68,2015-03-18 16:21:00,1,9,4367,4,2,2015-01-05,3,2,300,0.12,150,3
25,74,2015-01-01 8:24:00,1,7,9503,3,2,2015-01-07,3,2,400,0.15,200,1
31,89,2015-01-01 10:30:00,5,4,6983,5,1,2015-01-03,1,4,500,0.01,245,1
33,90,2015-01-01 11:12:00,1,6,5793,5,1,2015-01-03,2,1,130,0.06,65,1
33,91,2015-01-01 11:12:00,1,8,5793,5,1,2015-01-03,2,1,200,0.09,100,1
33,92,2015-01-01 11:12:00,1,6,5793,5,1,2015-01-03,2,1,130,0.05,65,1
33,93,2015-01-01 11:12:00,4,3,5793,5,1,2015-01-03,2,1,200,0.16,125,1
35,95,2016-02-12 7:18:00,1,6,4840,3,2,2016-02-16,3,2,130,0.04,65,14
41,104,2015-01-01 14:00:00,4,3,8136,6,2,2015-01-03,2,1,200,0.15,125,1
41,105,2017-01-26 15:45:00,4,49,8136,6,2,2017-02-01,2,1,128,0.17,69,25
43,109,2015-01-01 14:42:00,1,9,7776,3,1,2015-01-03,2,1,300,0.05,150,1
43,110,2015-01-01 14:42:00,1,4,7776,3,1,2015-01-03,2,1,100,0.18,245,1
43,111,2015-01-01 14:42:00,1,6,7776,3,1,2015-01-03,2,1,130,0.03,65,1
45,113,2015-01-19 7:19:00,5,5,2636,3,1,2015-01-25,1,4,200,0.16,97,1
45,114,2017-01-02 21:23:00,4,5,2636,3,1,2017-01-05,1,4,160,0.03,97,25
45,115,2015-04-13 10:01:00,5,33,2636,3,1,2015-04-16,1,4,80,0.02,31,4
45,116,2015-01-01 15:24:00,1,1,2636,3,1,2015-01-07,1,4,60,0.16,147,1
51,126,2017-04-05 22:29:00,1,2,12271,3,2,2017-04-07,1,4,50,0.18,125,28
51,127,2015-01-01 17:31:00,1,7,12271,3,2,2015-01-03,1,4,400,0.06,200,1
61,146,2015-01-01 21:01:00,2,1,4791,3,2,2015-01-03,3,2,120,0.03,147,1
61,147,2015-01-01 21:01:00,2,1,4791,3,2,2015-01-03,3,2,120,0.02,147,1
61,148,2015-05-23 0:09:00,4,4,4791,3,2,2015-07-06,3,2,400,0.04,245,5
63,153,2017-05-29 3:30:00,1,7,1148,5,2,2017-05-31,1,4,400,0.02,200,29
63,154,2015-01-01 21:43:00,2,3,1148,5,2,2015-01-05,1,4,100,0.09,125,1
63,155,2017-05-28 6:28:00,1,7,1148,5,2,2017-05-30,1,4,400,0.01,200,29
65,161,2015-01-01 22:25:00,1,9,5903,3,2,2015-01-03,2,1,300,0.25,150,1
71,172,2015-01-02 0:31:00,5,4,8646,1,2,2015-01-04,1,4,500,NULL,245,1
71,173,2015-01-02 0:31:00,2,1,8646,1,2,2015-02-09,1,4,120,NULL,147,1
71,174,2015-01-02 0:31:00,1,5,8646,1,2,2015-01-04,1,4,40,0.16,97,1
73,179,2015-01-02 1:13:00,5,3,8504,3,2,2015-01-06,1,4,250,0.05,125,1
73,180,2015-01-02 1:13:00,5,3,8504,3,2,2015-01-06,1,4,250,0.04,125,1
73,181,2015-01-02 1:13:00,5,3,8504,3,2,2015-01-06,1,4,250,0.03,125,1
73,182,2017-01-28 16:27:00,1,6,8504,3,2,2016-11-26,1,4,130,0.15,65,25
73,183,2015-01-02 1:13:00,4,4,8504,3,2,2015-02-04,1,4,400,0.03,245,1
75,185,2015-01-02 1:55:00,1,6,2505,3,1,2015-01-08,1,4,130,0.13,65,1
75,186,2015-01-02 1:55:00,1,2,2505,3,1,2015-01-08,1,4,50,0.13,125,1
75,187,2015-01-02 1:55:00,4,2,2505,3,1,2015-01-08,1,4,200,0.13,125,1
75,188,2015-01-02 1:55:00,1,7,2505,3,1,2015-01-08,1,4,400,NULL,200,1
81,194,2015-01-02 4:01:00,5,5,674,7,2,2015-01-04,1,4,200,0.15,97,1
81,195,2015-01-02 4:01:00,3,5,674,7,2,2015-01-04,1,4,120,0.06,97,1
81,196,2015-01-02 4:01:00,4,3,674,7,2,2015-01-04,1,4,200,0.12,125,1
81,197,2015-01-02 4:01:00,1,6,674,7,2,2016-09-26,1,4,130,0.1,65,1
83,198,2017-06-11 23:37:00,1,8,1265,7,2,2017-06-16,1,4,200,0.01,100,30
91,207,2015-01-02 7:31:00,1,7,8912,3,1,2015-01-04,2,1,400,0.2,200,1
91,208,2015-01-02 7:31:00,5,1,8912,3,1,2015-01-04,2,1,300,0.15,147,1
93,210,2015-01-02 8:13:00,4,45,2256,3,2,2015-01-06,3,2,100,0.06,59,1
95,215,2015-01-02 8:55:00,5,5,9032,3,1,2015-01-04,2,1,200,0.12,97,1
113,259,2015-01-21 12:56:00,3,5,10216,8,2,2015-01-23,1,4,120,0.04,97,1
113,260,2015-01-02 15:14:00,1,3,10216,8,2,2015-01-06,1,4,50,0.12,125,1
113,261,2015-01-02 15:14:00,1,9,10216,8,2,2015-01-06,1,4,300,0.09,150,1
113,262,2015-01-02 15:14:00,3,3,10216,8,2,2015-02-09,1,4,150,0.07,125,1
115,264,2015-01-02 15:56:00,1,9,104,8,2,2016-12-16,1,4,300,0.07,150,1
115,265,2015-01-02 15:56:00,1,9,104,8,2,2016-12-23,1,4,300,0.06,150,1
116,266,2015-01-02 16:17:00,1,9,8763,6,2,2015-01-04,1,4,300,0.05,150,1
116,267,2015-01-02 16:17:00,3,34,8763,6,2,2015-01-04,1,4,66,NULL,36,1
116,268,2015-01-02 16:17:00,2,3,8763,6,2,2015-01-04,1,4,100,0.03,125,1
116,269,2015-01-02 16:17:00,2,4,8763,6,2,2015-01-04,1,4,200,0.03,245,1
116,270,2017-03-22 10:36:00,1,6,8763,6,2,2017-03-26,1,4,130,0.25,65,27
118,275,2015-01-02 16:59:00,1,6,1737,9,1,2015-01-06,1,4,130,0.2,65,1
118,276,2015-01-02 16:59:00,1,6,1737,9,1,2015-01-06,1,4,130,0.18,65,1
118,277,2015-01-02 16:59:00,1,2,1737,9,1,2015-01-06,1,4,50,0.1,125,1
133,313,2015-01-02 22:14:00,2,2,10604,6,2,2015-01-06,3,2,100,0.05,125,1
133,314,2015-01-02 22:14:00,4,1,10604,6,2,2015-01-06,3,2,240,0.07,147,1
133,315,2015-01-02 22:14:00,5,1,10604,6,2,2015-01-06,3,2,300,0.12,147,1
135,317,2015-01-02 22:56:00,1,5,7738,8,2,2015-01-08,1,4,40,0.13,97,1
135,318,2015-01-02 22:56:00,2,1,7738,8,2,2015-06-02,1,4,120,0.13,147,1
135,319,2015-05-23 16:16:00,1,2,7738,8,2,2015-05-29,1,4,50,0.07,125,5
136,320,2015-01-02 23:17:00,1,9,9126,8,2,2015-01-04,1,4,300,NULL,150,1
155,366,2015-01-03 5:57:00,2,1,9044,1,1,2015-01-09,3,2,120,0.1,147,1
156,367,2015-01-03 6:18:00,1,3,5200,2,2,2015-01-05,2,1,50,0.06,125,1
158,369,2015-01-03 7:00:00,1,7,12345,3,1,2015-01-05,2,1,400,0.03,200,1
173,420,2015-01-08 23:17:00,4,43,9027,3,2,2015-01-11,3,2,140,0.18,66,1
175,425,2015-01-03 12:57:00,1,9,384,3,2,2015-01-05,2,1,300,0.09,150,1
175,426,2015-01-03 12:57:00,3,5,384,3,2,2015-01-05,2,1,120,0.03,97,1
178,431,2015-07-31 12:50:00,1,3,8503,10,2,2015-08-03,1,4,50,0.05,125,7
178,432,2015-01-03 14:00:00,1,7,8503,10,2,2015-01-07,1,4,400,0.2,200,1
193,470,2015-01-01 9:48:00,1,8,6174,3,2,2015-01-06,4,3,200,NULL,100,1
193,471,2015-01-03 19:15:00,3,2,6174,3,2,2015-01-04,4,3,150,0.09,125,1
193,472,2015-01-03 19:15:00,4,4,6174,3,2,2015-01-04,4,3,400,0.2,245,1
193,473,2017-01-04 22:26:00,1,7,6174,3,2,2017-01-07,4,3,400,0.07,200,25
195,478,2015-01-03 19:58:00,4,18,12096,7,1,2015-01-09,3,2,128,0.16,73,1
195,479,2015-01-03 19:58:00,5,3,12096,7,1,2016-07-10,3,2,250,0.2,125,1
195,480,2015-01-03 19:58:00,1,8,12096,7,1,2015-01-09,3,2,200,0.25,100,1
196,481,2015-01-03 20:19:00,4,1,2765,3,2,2015-01-05,1,4,240,0.01,147,1
198,484,2015-01-03 21:01:00,4,4,7436,7,2,2017-08-20,1,4,400,0.18,245,1
213,517,2015-01-04 2:16:00,1,9,11715,8,2,2015-01-08,1,4,300,0.02,150,1
213,518,2015-01-04 2:16:00,5,1,11715,8,2,2015-01-08,1,4,300,0.02,147,1
213,519,2015-01-04 2:16:00,2,2,11715,8,2,2015-03-01,1,4,100,0.25,125,1
215,524,2015-01-04 2:58:00,1,8,5925,1,2,2015-01-10,1,4,200,0.18,100,1
216,525,2015-01-04 3:19:00,3,5,7282,6,2,2015-01-06,1,4,120,0.01,97,1
216,526,2015-01-04 3:19:00,1,9,7282,6,2,2015-01-06,1,4,300,0.01,150,1
216,527,2015-01-04 3:19:00,1,9,7282,6,2,2015-01-06,1,4,300,NULL,150,1
216,528,2015-01-04 3:19:00,3,45,7282,6,2,2015-01-06,1,4,75,0.17,59,1
235,576,2015-01-04 9:58:00,1,7,4285,10,2,2015-01-10,1,4,400,0.18,200,1
236,577,2015-01-04 10:19:00,1,7,9785,10,1,2015-01-06,1,4,400,0.17,200,1
236,578,2016-05-10 7:32:00,4,5,9785,10,1,2016-05-13,1,4,160,0.16,97,17
236,579,2015-01-04 10:19:00,3,1,9785,10,1,2015-01-06,1,4,180,0.04,147,1
238,585,2015-01-04 11:01:00,4,1,4939,3,1,2016-11-28,1,4,240,0.2,147,1
238,586,2015-01-04 11:01:00,1,6,4939,3,1,2015-01-08,1,4,130,0.01,65,1
238,587,2015-01-04 11:01:00,2,23,4939,3,1,2015-01-08,1,4,104,0.18,122,1
238,588,2015-01-04 11:01:00,4,1,4939,3,1,2016-12-01,1,4,240,0.18,147,1
253,635,2015-01-04 16:17:00,1,2,45,8,2,2015-01-08,1,4,50,NULL,125,1
253,636,2015-01-04 16:17:00,1,4,45,8,2,2015-01-08,1,4,100,0.01,245,1
253,637,2015-01-04 16:17:00,2,4,45,8,2,2016-02-29,1,4,200,0.16,245,1
253,638,2017-05-05 10:53:00,1,9,45,8,2,2017-05-09,1,4,300,0.12,150,29
255,642,2015-01-04 16:59:00,4,3,10346,11,1,2015-12-10,3,2,200,0.03,125,1
255,643,2015-01-04 16:59:00,4,4,10346,11,1,2015-01-10,3,2,400,0.15,245,1
255,644,2015-01-04 16:59:00,3,3,10346,11,1,2015-12-15,3,2,150,0.03,125,1
255,645,2015-01-04 16:59:00,1,6,10346,11,1,2015-01-10,3,2,130,0.16,65,1
256,646,2015-01-04 17:20:00,1,3,4199,3,2,2015-01-06,1,4,50,NULL,125,1
256,647,2015-01-04 17:20:00,1,9,4199,3,2,2015-01-06,1,4,300,0.1,150,1
256,648,2015-01-04 17:20:00,1,1,4199,3,2,2015-01-21,1,4,60,0.18,147,1
256,649,2015-01-04 17:20:00,3,5,4199,3,2,2015-01-06,1,4,120,0.2,97,1
256,650,2015-01-04 17:20:00,1,1,4199,3,2,2015-01-09,1,4,60,0.17,147,1
273,683,2015-01-04 23:17:00,1,8,10665,3,1,2015-01-08,1,4,200,0.03,100,1
273,684,2015-01-04 23:17:00,1,9,10665,3,1,2015-01-08,1,4,300,0.09,150,1
273,685,2016-07-17 8:08:00,1,6,10665,3,1,2016-07-20,1,4,130,0.12,65,19
275,689,2015-01-04 23:59:00,4,1,10942,5,2,2015-01-05,4,3,240,0.12,147,1
275,690,2015-01-04 23:59:00,5,1,10942,5,2,2015-01-05,4,3,300,0.25,147,1
275,691,2015-01-04 23:59:00,3,26,10942,5,2,2015-01-05,4,3,90,0.13,55,1
275,692,2015-01-04 23:59:00,1,7,10942,5,2,2015-01-05,4,3,400,0.04,200,1
278,695,2015-01-05 1:02:00,5,1,488,10,2,2015-01-09,1,4,300,0.2,147,1
278,696,2015-05-28 10:49:00,2,28,488,10,2,2015-05-31,1,4,36,0.1,42,5
278,697,2015-01-31 10:49:00,5,5,488,10,2,2015-02-03,1,4,200,0.02,97,1
278,698,2015-01-05 1:02:00,4,2,488,10,2,2015-01-09,1,4,200,0.01,125,1
293,738,2017-08-28 10:54:00,4,5,4731,1,1,2017-08-28,1,4,160,0.13,97,32
293,739,2016-05-23 6:38:00,1,6,4731,1,1,2015-08-05,1,4,130,0.03,65,17
293,740,2016-05-23 6:38:00,1,6,4731,1,1,2015-08-11,1,4,130,0.02,65,17
295,744,2015-02-06 22:43:00,5,5,1937,3,2,2015-02-09,1,4,200,0.25,97,2
